submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/26/2021,MD,344620,,,1482,0,7407,7210,197,48,1,01/28/2021 12:00:00 AM,N/A,Agree
08/31/2020,MD,108249,,,458,0,3883,3729,154,8,0,09/02/2020 12:00:00 AM,N/A,Agree
11/26/2020,MD,190480,,,2319,0,4735,4564,171,34,0,11/28/2020 12:00:00 AM,N/A,Agree
09/12/2021,MD,510543,,,1150,0,10211,9987,224,18,0,09/14/2021 12:00:00 AM,N/A,Agree
03/10/2020,MD,9,,,3,0,0,0,0,0,0,03/12/2020 12:00:00 AM,N/A,Agree
03/29/2022,MD,1011498,,,287,0,14343,14079,264,12,0,03/30/2022 02:13:09 PM,N/A,Agree
01/31/2021,MD,354473,,,1747,0,7588,7390,198,36,0,02/02/2021 12:00:00 AM,N/A,Agree
09/20/2020,MD,120156,,,412,0,4008,3851,157,6,0,09/22/2020 12:00:00 AM,N/A,Agree
08/06/2020,MD,93005,,,579,0,3670,3525,145,9,0,08/08/2020 12:00:00 AM,N/A,Agree
10/21/2021,MD,553593,,,1069,0,10794,10564,230,11,0,10/23/2021 12:00:00 AM,N/A,Agree
12/07/2020,MD,217329,,,2302,0,5119,4941,178,41,1,12/09/2020 12:00:00 AM,N/A,Agree
02/03/2022,MD,982798,,,2173,0,13611,13353,258,39,2,02/05/2022 12:00:00 AM,N/A,Agree
03/24/2022,MD,1009705,,,0,0,14316,14052,264,2,2,03/25/2022 01:28:21 PM,N/A,Agree
04/21/2022,MD,1024920,,,1015,0,14422,14158,264,4,0,04/22/2022 02:15:21 PM,N/A,Agree
07/01/2021,MD,462354,,,75,0,9783,9566,217,4,0,07/03/2021 12:00:00 AM,N/A,Agree
02/06/2022,MD,987351,,,1166,0,13724,13465,259,33,0,02/08/2022 12:00:00 AM,N/A,Agree
02/25/2020,MD,0,,,0,0,0,0,0,0,0,02/27/2020 12:00:00 AM,N/A,Agree
02/15/2021,MD,371705,,,722,0,8079,7876,203,34,1,02/17/2021 12:00:00 AM,N/A,Agree
12/13/2021,MD,604385,,,1451,0,11392,11159,233,12,0,12/15/2021 12:00:00 AM,N/A,Agree
10/21/2020,MD,137236,,,492,0,4206,4047,159,12,0,10/23/2020 12:00:00 AM,N/A,Agree
12/06/2021,MD,594671,,,980,0,11294,11062,232,12,0,12/08/2021 12:00:00 AM,N/A,Agree
06/20/2021,MD,461739,,,42,0,9754,9537,217,2,0,06/22/2021 12:00:00 AM,N/A,Agree
12/02/2020,MD,203355,,,2220,0,4934,4760,174,43,1,12/04/2020 12:00:00 AM,N/A,Agree
05/08/2020,MD,30485,,,1111,0,1616,1533,83,61,4,05/10/2020 12:00:00 AM,N/A,Agree
06/27/2020,MD,66450,,,335,0,3266,3132,134,14,0,06/29/2020 12:00:00 AM,N/A,Agree
02/06/2021,MD,362084,,,1500,0,7789,7588,201,35,0,02/08/2021 12:00:00 AM,N/A,Agree
11/22/2021,MD,578851,,,832,0,11147,10916,231,9,0,11/24/2021 12:00:00 AM,N/A,Agree
09/04/2021,MD,502229,,,1194,0,10098,9875,223,14,0,09/06/2021 12:00:00 AM,N/A,Agree
01/08/2022,MD,828793,,,13770,0,12250,12008,242,57,2,01/10/2022 12:00:00 AM,N/A,Agree
07/13/2020,MD,73527,,,418,0,3447,3308,139,7,0,07/15/2020 12:00:00 AM,N/A,Agree
04/19/2020,MD,12830,,,522,0,591,560,31,43,4,04/21/2020 12:00:00 AM,N/A,Agree
08/15/2021,MD,479952,,,869,0,9911,9690,221,3,0,08/17/2021 12:00:00 AM,N/A,Agree
11/13/2021,MD,570806,,,983,0,11072,10841,231,20,0,11/15/2021 12:00:00 AM,N/A,Agree
10/22/2020,MD,137979,,,743,0,4214,4055,159,8,0,10/24/2020 12:00:00 AM,N/A,Agree
03/15/2020,MD,31,,,5,0,0,0,0,0,0,03/17/2020 12:00:00 AM,N/A,Agree
01/30/2020,MD,0,,,0,0,0,0,0,0,0,02/01/2020 12:00:00 AM,N/A,Agree
03/03/2022,MD,1003908,,,398,0,14171,13908,263,11,0,03/04/2022 03:15:42 PM,N/A,Agree
08/22/2021,MD,486968,,,990,0,9965,9743,222,7,0,08/24/2021 12:00:00 AM,N/A,Agree
03/14/2022,MD,1007040,,,404,0,14271,14006,265,10,0,03/15/2022 01:23:04 PM,N/A,Agree
11/24/2021,MD,580496,,,905,0,11165,10934,231,8,0,11/26/2021 12:00:00 AM,N/A,Agree
07/03/2020,MD,68961,,,538,0,3344,3206,138,8,1,07/05/2020 12:00:00 AM,N/A,Agree
03/05/2020,MD,3,,,3,0,0,0,0,0,0,03/07/2020 12:00:00 AM,N/A,Agree
09/14/2020,MD,116646,,,536,0,3965,3809,156,3,0,09/16/2020 12:00:00 AM,N/A,Agree
01/13/2022,MD,890061,,,11231,0,12545,12300,245,62,1,01/15/2022 12:00:00 AM,N/A,Agree
10/18/2021,MD,551264,,,714,0,10749,10519,230,12,0,10/20/2021 12:00:00 AM,N/A,Agree
08/03/2021,MD,469910,,,368,0,9860,9640,220,5,0,08/05/2021 12:00:00 AM,N/A,Agree
08/30/2020,MD,107791,,,497,0,3875,3721,154,6,0,09/01/2020 12:00:00 AM,N/A,Agree
09/18/2021,MD,518061,,,1277,0,10300,10073,227,18,1,09/20/2021 12:00:00 AM,N/A,Agree
01/09/2021,MD,303364,,,3758,0,6627,6434,193,48,0,01/11/2021 12:00:00 AM,N/A,Agree
03/23/2020,MD,288,,,44,0,5,5,0,1,0,03/25/2020 12:00:00 AM,N/A,Agree
02/02/2021,MD,356541,,,905,0,7651,7451,200,32,1,02/04/2021 12:00:00 AM,N/A,Agree
05/17/2022,MD,1062235,,,1992,0,14545,14280,265,3,0,05/18/2022 01:45:25 PM,N/A,Agree
01/14/2022,MD,900559,,,10498,0,12604,12357,247,59,2,01/16/2022 12:00:00 AM,N/A,Agree
12/02/2021,MD,589113,,,1828,0,11241,11010,231,7,0,12/04/2021 12:00:00 AM,N/A,Agree
06/13/2021,MD,461265,,,82,0,9730,9513,217,2,0,06/15/2021 12:00:00 AM,N/A,Agree
