,CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
74319,Italy,ITA,,,NAT_TOTAL,20210813,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,3.0,,2.0,,0.0,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4427827.0,128379.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74320,Italy,ITA,,,NAT_TOTAL,20210814,1.0,1.0,"although some local red zones have been established since Aug 9th in Calabria, and others later established in Sicily and Sardinia no mention is given to whether schooling is limited so assuming it is not.  https://web.archive.org/web/20210825011559/https://tg24.sky.it/cronaca/2021/08/24/covid-restrizioni-locali-comuni  https://web.archive.org/web/20210809092647/https://tg24.sky.it/cronaca/2021/08/09/colori-regioni-covid    Although a new decree has been signed for green passes for school employees/teachers, that does not apply to students hence not adding an exemption flag. Furthermore it will be in place with the new school season starting mid september.  Source: http://archive.today/ayxMd | http://archive.today/GyyAg    ",2.0,1.0,"green passes now required for restaurants and bars if people will sit inside.  in local red zones no mention to additional businesses being closed  https://web.archive.org/web/20210825011559/https://tg24.sky.it/cronaca/2021/08/24/covid-restrizioni-locali-comuni  https://web.archive.org/web/20210809092647/https://tg24.sky.it/cronaca/2021/08/09/colori-regioni-covid    other than local red zones, all regions continue to be in white zones  https://web.archive.org/web/20210826140650/https://www.governo.it/it/articolo/domande-frequenti-sulle-misure-adottate-dal-governo/15638",2.0,1.0,,1.0,1.0,no mention on additional restrictions to nr of participants in local red zones.   https://web.archive.org/web/20210825011559/https://tg24.sky.it/cronaca/2021/08/24/covid-restrizioni-locali-comuni  https://web.archive.org/web/20210809092647/https://tg24.sky.it/cronaca/2021/08/09/colori-regioni-covid  ,1.0,1.0,reduced capacity still in place  some transport (long-distance transport) can only be used with a green pass  https://web.archive.org/web/20210815203808/https://www.startmag.it/smartcity/green-pass-obbligo-trasporti-lunga-percorrenza/,2.0,0.0,,2.0,0.0,,3.0,"travel bans still in place from India Bangladesh and Sri Lanka until Aug 30th  if passengers hold a Green Pass and are coming from the Schengen area, Israel, USA, Canada, Japan no additional measures are required  https://web.archive.org/web/20210826163225/https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5411&area=nuovoCoronavirus&menu=vuoto",1.0,1.0,some sectors (textiles) can still use Cassa Integrazione until 31st December  https://web.archive.org/web/20210701170921/http://www.lavoro.gov.it/notizie/pagine/pubblicato-in-gazzetta-ufficiale-il-decreto-legge-30-giugno-2021-n-99.aspx/,2.0,the exemption from paying past due taxes has been further extended until sept 1st  https://web.archive.org/web/20210827155818/https://www.corrieredellacalabria.it/2021/08/23/stop-alla-proroga-del-blocco-delle-cartelle-da-settembre-tornano-i-pignoramenti/,,,,,2.0,1.0,https://web.archive.org/web/20210827104546/https://www.salute.gov.it/portale/nuovocoronavirus/homeNuovoCoronavirus.jsp,3.0,LFT still generally available in pharmacies and supermarkets and given there is a surge in tests since Aug 6th when green pass have become mandatory for certain businesses the prices for tests in pharmacies has been reduced  https://web.archive.org/web/20210805125459/https://www.altroconsumo.it/salute/dal-medico/news/tamponi-a-prezzo-calmierato,2.0,no change in contact tracing policy  https://web.archive.org/web/20210825192043/https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?lingua=italiano&id=244,,,0.0,,2.0,1.0,"although some local red zones have been established since Aug 9th in Calabria, and others later established in Sicily and Sardinia the mention given to mask wearing policies is no different from the current policy in place: mask should we worn in closed public spaces and in open air if social distancing cannot be guaranteed  https://web.archive.org/web/20210825011559/https://tg24.sky.it/cronaca/2021/08/24/covid-restrizioni-locali-comuni  https://web.archive.org/web/20210809092647/https://tg24.sky.it/cronaca/2021/08/09/colori-regioni-covid",5.0,1.0,"all regions are vaccinating all age ranges, some regions have better progress than others  https://web.archive.org/web/20210819140414/https://www.ilsole24ore.com/art/obiettivo-80percento-vaccinati-ecco-regioni-piu-avanti-e-quelle-piu-indietro-AE9o1Kc",3.0,1.0,a green pass is required for visiting in LTCF  https://web.archive.org/web/20210805125217/https://tg24.sky.it/salute-e-benessere/2021/08/05/visite-rsa-green-pass,,,2.0,,3.0,students can now be vaccinated without needing to book a date  some regions have a prioritized agend  https://web.archive.org/web/20210810155054/https://www.ecodibergamo.it/stories/bergamo-citta/vaccinazione-anti-covid-dal-16-agosto-prenotazione-online-dedicata-agli-student_1404216_11/  others don't require a booking  https://web.archive.org/web/20210818100834/https://www.ilpost.it/2021/08/18/vaccini-coronavirus-adolescenti-senza-prenotazione/,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4435008.0,128413.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74321,Italy,ITA,,,NAT_TOTAL,20210815,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4440669.0,128432.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74322,Italy,ITA,,,NAT_TOTAL,20210816,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4444338.0,128456.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74323,Italy,ITA,,,NAT_TOTAL,20210817,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4449606.0,128510.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74324,Italy,ITA,,,NAT_TOTAL,20210818,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4456765.0,128579.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74325,Italy,ITA,,,NAT_TOTAL,20210819,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4464005.0,128634.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74326,Italy,ITA,,,NAT_TOTAL,20210820,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4471225.0,128683.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74327,Italy,ITA,,,NAT_TOTAL,20210821,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4478691.0,128728.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74328,Italy,ITA,,,NAT_TOTAL,20210822,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4484613.0,128751.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74329,Italy,ITA,,,NAT_TOTAL,20210823,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4488779.0,128795.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74330,Italy,ITA,,,NAT_TOTAL,20210824,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4494857.0,128855.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74331,Italy,ITA,,,NAT_TOTAL,20210825,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4502396.0,128914.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74332,Italy,ITA,,,NAT_TOTAL,20210826,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4509611.0,128957.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74333,Italy,ITA,,,NAT_TOTAL,20210827,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4517434.0,129002.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74334,Italy,ITA,,,NAT_TOTAL,20210828,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,no mention on additional restrictions to nr of participants in local red zones.   https://web.archive.org/web/20210825011559/https://tg24.sky.it/cronaca/2021/08/24/covid-restrizioni-locali-comuni  https://web.archive.org/web/20210809092647/https://tg24.sky.it/cronaca/2021/08/09/colori-regioni-covid,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,some sectors (textiles) can still use Cassa Integrazione until 31st December  https://web.archive.org/web/20210701170921/http://www.lavoro.gov.it/notizie/pagine/pubblicato-in-gazzetta-ufficiale-il-decreto-legge-30-giugno-2021-n-99.aspx/,2.0,for some tax payer categories taxes have been postponed to sept 15th  http://web.archive.org/web/20210806114340/https://www.fiscoetasse.com/rassegna-stampa/30797-proroga-versamenti-al-15-settembre-i-chiarimenti-delle-entrate-anche-per-le-rate.html,,,,,2.0,1.0,https://web.archive.org/web/20210903155538/https://www.salute.gov.it/portale/nuovocoronavirus/homeNuovoCoronavirus.jsp,3.0,LFT still generally available in pharmacies and supermarkets and given there is a surge in tests since Aug 6th when green pass have become mandatory for certain businesses the prices for tests in pharmacies has been reduced  https://web.archive.org/web/20210805125459/https://www.altroconsumo.it/salute/dal-medico/news/tamponi-a-prezzo-calmierato,2.0,no change in contact tracing policy  https://web.archive.org/web/20210903180117/https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?lingua=italiano&id=244,,,0.0,,2.0,1.0,"although some local red zones have been established since Aug 9th in Calabria, and others later established in Sicily and Sardinia the mention given to mask wearing policies is no different from the current policy in place: mask should we worn in closed public spaces and in open air if social distancing cannot be guaranteed  https://web.archive.org/web/20210825011559/https://tg24.sky.it/cronaca/2021/08/24/covid-restrizioni-locali-comuni  https://web.archive.org/web/20210809092647/https://tg24.sky.it/cronaca/2021/08/09/colori-regioni-covid",5.0,1.0,"all regions are vaccinating all age ranges, some regions have better progress than others  https://web.archive.org/web/20210819140414/https://www.ilsole24ore.com/art/obiettivo-80percento-vaccinati-ecco-regioni-piu-avanti-e-quelle-piu-indietro-AE9o1Kc",3.0,1.0,LTCF can only be accessed with a green pass  a green pass is required for visiting in LTCF  https://web.archive.org/web/20210805125217/https://tg24.sky.it/salute-e-benessere/2021/08/05/visite-rsa-green-pass  https://web.archive.org/web/20210822052059/https://www.ilmessaggero.it/politica/green_pass_visite_ospedali_parenti_rsa_ultime_notizie_oggi_6_agosto_2021-6124351.html,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4524292.0,129056.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
74335,Italy,ITA,,,NAT_TOTAL,20210829,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,1.0,1.0,,2.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,5.0,1.0,,3.0,1.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,4530246.0,129093.0,63.89,63.89,76.19,76.19,73.44,73.44,73.21,73.21,75.0,75.0
